Country,Suicides/100k_pop,sunny,temp_average
Albania,924.76,2544,15.0
Austria,9076.23,1500,11.0
Belgium,7900.5,1446,10.5
Bulgaria,7016.08,2035,10.0
Croatia,5982.84,1800,11.0
Denmark,3721.65,1750,8.0
Estonia,6873.78,1400,5.5
Finland,7924.11,1600,5.0
France,7803.25,1700,13.5
Germany,4854.69,1625,9.25
Greece,1512.12,2800,18.0
Hungary,10156.07,1400,12.0
Ireland,3881.73,1420,9.5
Italy,3168.87,2820,14.0
Latvia,7373.35,1757,6.5
Lithuania,10588.88,1588,6.0
Luxembourg,6156.56,1630,8.5
Malta,1872.01,2957,18.5
Netherlands,4066.52,1600,10.0
Norway,4658.76,1668,6.0
Poland,4397.62,1600,8.0
Portugal,3673.36,2788,17.0
Romania,4171.55,2100,11.5
Serbia,4787.45,2112,13.0
Slovakia,3318.16,2142,10.5
Slovenia,7012.62,1700,10.5
Spain,3509.06,2700,15.0
Sweden,5247.72,1820,7.0
Switzerland,4794.07,1566,9.5
