,Country,Suicides/100k_pop,sunny,temp_average
0,Albania,3.502878787878788,2544,15.0
1,Austria,23.75976439790576,1500,11.0
2,Belgium,21.237903225806452,1446,10.5
3,Bosnia and Herzegovina,4.617083333333333,1769,10.0
4,Bulgaria,19.48911111111111,2035,10.0
5,Croatia,22.83526717557252,1800,11.0
6,Cyprus,3.2935955056179775,3425,19.0
7,Czech Republic,18.487546583850932,1600,8.0
8,Denmark,14.097159090909091,1750,8.0
9,Estonia,27.27690476190476,1400,5.5
10,Finland,22.77043103448276,1600,5.0
11,France,21.675694444444446,1700,13.5
12,Germany,15.559903846153844,1625,9.25
13,Greece,4.064838709677419,2800,18.0
14,Hungary,32.76151612903226,1400,12.0
15,Ireland,10.782583333333333,1420,9.5
16,Italy,8.518467741935483,2820,14.0
17,Latvia,29.2593253968254,1757,6.5
18,Lithuania,40.415572519083966,1488,6.0
19,Luxembourg,16.54989247311828,1630,8.5
20,Malta,5.032284946236559,2957,18.5
21,Netherlands,10.645340314136126,1600,10.0
22,Norway,12.941,1668,6.0
23,Poland,15.269513888888888,1600,8.0
24,Portugal,11.33753086419753,2788,17.0
25,Romania,12.489670658682636,2100,11.5
26,Serbia,22.16412037037037,2112,13.0
27,Slovakia,12.568787878787878,2142,10.5
28,Slovenia,27.82785714285714,1700,10.5
29,Spain,9.432956989247312,2700,15.0
30,Sweden,14.658435754189945,1820,7.0
31,Switzerland,19.0240873015873,1566,9.5
32,United Kingdom,7.50247311827957,1400,9.9
